uuid,title,source,url,text
948be2f1-bb49-4a84-b931-5cbf24667b10,JTN Networks Acquires Post Millennial And Human Events,deadline.com (2025-11-14),https://deadline.com/2025/11/right-wing-media-brands-merge-just-the-news-human-events-1236616651/),"JTN Networks, the parent company of Just the News, has acquired the Human Events and The Post Millennial, uniting news brands on the right.

Human Events, which was founded in 1944 and has more recently featured columns and podcasts from Jack Posobiec, the MAGA influencer, will end daily publication this month and will be transformed into a virtual and live events platform, including ticket, music and movie sales and daily event programming, according to JTN Network’s CEO Mark Meckler. John Solomon, the founder of Just the News, will serve as chief strategy and content officer and board chairman.

The Post Millennial, a Canadian online website, was founded in 2017 but later acquired by Human Events Media Group. Jeff Webb, the previous owner of Human Events and The Post Millennial, will serve as key strategic adviser and will help develop the new events platform. He launched Varsity, he cheerleading company that organizes competitions and sells apparel.

Watch on Deadline

JTN Network said that it planned to expand The Post Millennial, shifting its focus to reaching a younger demographic, with news, lifestyle and entertainment content.

No sales figure or investors were disclosed. The owners expect that Posobiec will continue in his role.

In a statement, Webb said that he has “been saying for a long time that this media space is in need of consolidation in order to provide a complete, comprehensive and financially sustainable offering to the public.”"
3170d89c-0794-42e3-b65e-7bc2a52a5908,BYU Basketball's Kennard Davis Arrested,usmagazine.com (2025-11-14),https://www.usmagazine.com/entertainment/news/byu-basketballs-kennard-davis-arrested-on-suspicion-of-dui/,"Brigham Young University men’s basketball star Kennard Davis was arrested on suspicion of DUI on Thursday, November 13, two days before the No. 7 Cougars face third-ranked UConn in a marquee early season showdown.

Davis, 20, was charged with driving under the influence after crashing his car in Provo, Utah, and was treated for minor injuries, police told ESPN in a story published Friday, November 14. The other party involved in the crash did not suffer any injuries that required hospital treatment.

“We are aware of the allegations and looking into the situation,” the university said in a statement to ESPN.

While an athlete’s arrest could result in suspension from the team at any university, Davis’ situation is more complicated because he attends BYU. The school is the flagship university of the Church of Jesus Christ of Latter-day Saints, meaning students must adhere to a strict honor code.

Related: Auburn Basketball Star Tahaad Pettiford, 19, Arrested for DUI Tahaad Pettiford, a rising star on Auburn University’s men’s basketball team, has been arrested on suspicion of a DUI. According to Lee Country arrest records reviewed by Us Weekly, Pettiford was booked at midnight on Saturday, July 12, for driving under the influence of alcohol. He was later released on $1,000 bail the same day. […]

The honor code calls for students and employees to “abstain from alcoholic beverages, tobacco, tea, coffee, vaping, marijuana, and other substance abuse” and those who violate the honor code could face punishment “up to and including dismissal from the university or termination of employment.”

The BYU men’s basketball team has dealt with honor code violations in the past, most notably with Brandon Davies, who played for the Cougars from 2009 to 2013. After BYU started the 2010-11 season 27-2, rising to No. 3 in the AP Poll, Davies, now 34, was suspended for having premarital sex with his girlfriend. He did not play again that season and was reinstated to the team the following fall.

BYU did not reveal whether Davis traveled with the team to Boston for the game against UConn on Saturday, November 15.

Davis transferred to BYU from Southern Illinois in the offseason and has started both games he’s played in so far, averaging 9.0 points and shooting almost 60 percent from the field. He missed the Cougars’ most recent game, a win over the University of Delaware, while recovering from a leg injury. He was expected to be available against the Huskies.

Related: NBA Legend Paul Pierce Breaks Silence on DUI Suspicion: 'I'm Old and Tired' Former NBA star Paul Pierce was arrested late Tuesday, October 7, on suspicion of misdemeanor DUI after police allegedly found him asleep behind the wheel on a Los Angeles freeway. According to the California Highway Patrol, officers responded around 10:40 p.m. to a multi-vehicle crash on northbound U.S. Highway 101 near Universal City. When lanes […]

“I’m concerned with all of our guys when they have any kind of injury because you want a clean bill of health,” BYU coach Kevin Young told the media after the win over Delaware on Tuesday, November 11. “I do think [Davis] could have played. I was telling the coaches after that [game] it’s amazing when you take one guy out what it does to the team. He’s such a [huge part of our team] because of his toughness, his size, his defensive versatility. I think, for me, it made us all probably appreciate him even more.”

Though the Cougars may be shorthanded against UConn, the team still has plenty of talent, led by projected top three pick in the 2026 NBA Draft, AJ Dybantsa.

A Boston native, BYU scheduled Saturday’s contest in order to give its freshman star a homecoming game. Dybantsa, 18, is averaging 18.7 points and 7.0 rebounds per game to begin his college career. The Cougars are led in scoring by senior guard Richie Saunders, who is averaging 20.3 points per game on 47 percent three-point shooting."
7c9cd005-a22d-4460-8f15-a83419bccf54,Miami Dolphins vs. Washington Commanders in Madrid,CBS News (2025-11-14),https://www.cbsnews.com/video/miami-dolphins-vs-washington-commanders-in-madrid/,"Miami Dolphins vs. Washington Commanders in Madrid NFL fans are in Madrid, Spain, for a historic match between the Miami Dolphins and the Washington Commanders. CBS News Miami's Mike Cugno reports."
